bucket	run	request_id	opcode	peer	stage	value_us
around_500_400_799	stress_b32_run01	34	2	127.0.0.1:4501	data_transfer_us	543
ge_1000	stress_b32_run01	34	2	127.0.0.1:4501	response_transfer_us	1099
ge_1000	stress_b32_run01	34	2	127.0.0.1:4501	total_us	2389
around_500_400_799	stress_b32_run01	35	2	127.0.0.1:4501	request_queue_us	617
around_500_400_799	stress_b32_run01	35	2	127.0.0.1:4501	poller_queue_us	436
around_500_400_799	stress_b32_run01	35	2	127.0.0.1:4501	data_transfer_us	767
around_500_400_799	stress_b32_run01	35	2	127.0.0.1:4501	response_transfer_us	787
ge_1000	stress_b32_run01	35	2	127.0.0.1:4501	total_us	2468
around_500_400_799	stress_b32_run01	36	2	127.0.0.1:4501	request_queue_us	785
around_500_400_799	stress_b32_run01	36	2	127.0.0.1:4501	data_transfer_us	739
around_500_400_799	stress_b32_run01	36	2	127.0.0.1:4501	response_transfer_us	711
ge_1000	stress_b32_run01	36	2	127.0.0.1:4501	total_us	2621
near_1000_800_999	stress_b32_run01	37	2	127.0.0.1:4501	request_queue_us	954
near_1000_800_999	stress_b32_run01	37	2	127.0.0.1:4501	data_transfer_us	823
ge_1000	stress_b32_run01	37	2	127.0.0.1:4501	response_transfer_us	1910
ge_1000	stress_b32_run01	37	2	127.0.0.1:4501	total_us	4055
ge_1000	stress_b32_run01	31	2	127.0.0.1:4502	request_queue_us	1164
around_500_400_799	stress_b32_run01	31	2	127.0.0.1:4502	taskworker_prepare_us	418
ge_1000	stress_b32_run01	31	2	127.0.0.1:4502	data_transfer_us	1527
around_500_400_799	stress_b32_run01	31	2	127.0.0.1:4502	response_transfer_us	743
ge_1000	stress_b32_run01	31	2	127.0.0.1:4502	total_us	4038
near_1000_800_999	stress_b32_run01	38	2	127.0.0.1:4501	request_queue_us	929
near_1000_800_999	stress_b32_run01	38	2	127.0.0.1:4501	poller_queue_us	850
ge_1000	stress_b32_run01	38	2	127.0.0.1:4501	data_transfer_us	1479
ge_1000	stress_b32_run01	38	2	127.0.0.1:4501	response_transfer_us	3818
ge_1000	stress_b32_run01	38	2	127.0.0.1:4501	total_us	6610
ge_1000	stress_b32_run01	39	2	127.0.0.1:4501	request_queue_us	1031
around_500_400_799	stress_b32_run01	39	2	127.0.0.1:4501	poller_queue_us	695
